UserID,ItemID,Rating,Timestamp,Date
196,242,3,881250949,4/12/1997
186,302,3,891717742,4/04/1998
22,377,1,878887116,7/11/1997
244,51,2,880606923,27/11/1997
166,346,1,886397596,2/02/1998
298,474,4,884182806,7/01/1998
115,265,2,881171488,3/12/1997
253,465,5,891628467,3/04/1998
305,451,3,886324817,1/02/1998
6,86,3,883603013,31/12/1997
62,257,2,879372434,12/11/1997
286,1014,5,879781125,17/11/1997
200,222,5,876042340,5/10/1997
210,40,3,891035994,27/03/1998
224,29,3,888104457,21/02/1998
303,785,3,879485318,14/11/1997
122,387,5,879270459,11/11/1997
194,274,2,879539794,14/11/1997
291,1042,4,874834944,21/09/1997
234,1184,2,892079237,8/04/1998
119,392,4,886176814,30/01/1998
167,486,4,892738452,16/04/1998
299,144,4,877881320,26/10/1997
291,118,2,874833878,21/09/1997
308,1,4,887736532,17/02/1998
95,546,2,879196566,10/11/1997
38,95,5,892430094,13/04/1998
102,768,2,883748450,2/01/1998
63,277,4,875747401,1/10/1997
160,234,5,876861185,14/10/1997
50,246,3,877052329,17/10/1997
301,98,4,882075827,14/12/1997
225,193,4,879539727,14/11/1997
290,88,4,880731963,28/11/1997
97,194,3,884238860,8/01/1998
157,274,4,886890835,7/02/1998
181,1081,1,878962623,8/11/1997
278,603,5,891295330,30/03/1998
276,796,1,874791932,20/09/1997
7,32,4,891350932,31/03/1998
10,16,4,877888877,26/10/1997
284,304,4,885329322,20/01/1998
201,979,2,884114233,6/01/1998
276,564,3,874791805,20/09/1997
287,327,5,875333916,27/09/1997
246,201,5,884921594,16/01/1998
242,1137,5,879741196,17/11/1997
249,241,5,879641194,16/11/1997
99,4,5,886519097,3/02/1998
178,332,3,882823437,22/12/1997
251,100,4,886271884,31/01/1998
81,432,2,876535131,11/10/1997
260,322,4,890618898,23/03/1998
25,181,5,885853415,26/01/1998
59,196,5,888205088,23/02/1998
72,679,2,880037164,20/11/1997
87,384,4,879877127,18/11/1997
290,143,5,880474293,25/11/1997
42,423,5,881107687,3/12/1997
292,515,4,881103977,2/12/1997
115,20,3,881171009,3/12/1997
20,288,1,879667584,16/11/1997
201,219,4,884112673,6/01/1998
13,526,3,882141053,14/12/1997
246,919,4,884920949,16/01/1998
138,26,5,879024232,8/11/1997
167,232,1,892738341,16/04/1998
60,427,5,883326620,28/12/1997
57,304,5,883698581,1/01/1998
223,274,4,891550094,2/04/1998
189,512,4,893277702,22/04/1998
243,15,3,879987440,20/11/1997
92,1049,1,890251826,18/03/1998
246,416,3,884923047,16/01/1998
194,165,4,879546723,14/11/1997
